filename, language, HTML, TypeScript, CSS, comment, blank, total
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-client/list-client.component.css, CSS, 0, 0, 46, 0, 11, 57
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-client/list-client.component.html, HTML, 74, 0, 0, 1, 5, 80
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-client/list-client.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-client/list-client.component.ts, TypeScript, 0, 130, 0, 3, 15, 148
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/delete-modal/delete-modal.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/delete-modal/delete-modal.component.html, HTML, 9, 0, 0, 0, 1, 10
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/delete-modal/delete-modal.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/delete-modal/delete-modal.component.ts, TypeScript, 0, 16, 0, 1, 6, 23
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/list-staff.component.css, CSS, 0, 0, 29, 0, 0, 29
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/list-staff.component.html, HTML, 228, 0, 0, 0, 2, 230
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/list-staff.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-staff/list-staff.component.ts, TypeScript, 0, 132, 0, 9, 21, 162
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-ticket/tickets.component.css, CSS, 0, 0, 26, 0, 3, 29
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-ticket/tickets.component.html, HTML, 107, 0, 0, 0, 1, 108
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-ticket/tickets.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/list/list-ticket/tickets.component.ts, TypeScript, 0, 123, 0, 0, 14, 137
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/material.module.ts, TypeScript, 0, 33, 0, 0, 0, 33
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/modal/stopwatch/stopwatch.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/modal/stopwatch/stopwatch.component.html, HTML, 27, 0, 0, 0, 2, 29
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/modal/stopwatch/stopwatch.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/modal/stopwatch/stopwatch.component.ts, TypeScript, 0, 39, 0, 0, 2, 41
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/clientformtype.ts, TypeScript, 0, 4, 0, 0, 1, 5
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/staffformtype.ts, TypeScript, 0, 4, 0, 0, 1, 5
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/state.ts, TypeScript, 0, 20, 0, 0, 1, 21
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/ticketformtype.ts, TypeScript, 0, 4, 0, 0, 1, 5
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/timer.ts, TypeScript, 0, 26, 0, 0, 2, 28
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/user.ts, TypeScript, 0, 21, 0, 0, 4, 25
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/model/userole.ts, TypeScript, 0, 6, 0, 0, 1, 7
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/search/search/search.component.css, CSS, 0, 0, 14, 0, 0, 14
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/search/search/search.component.html, HTML, 44, 0, 0, 0, 0, 44
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/search/search/search.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/search/search/search.component.ts, TypeScript, 0, 78, 0, 0, 8, 86
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/ajout-base-api.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/ajout-base-api.service.ts, TypeScript, 0, 43, 0, 0, 5, 48
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/client-apiservice.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/client-apiservice.service.ts, TypeScript, 0, 113, 0, 0, 10, 123
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/stat-api.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/stat-api.service.ts, TypeScript, 0, 65, 0, 0, 7, 72
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/ticket-api.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/ticket-api.service.ts, TypeScript, 0, 117, 0, 3, 13, 133
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/user-api.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/api/user-api.service.ts, TypeScript, 0, 104, 0, 1, 9, 114
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/login/auth-gaurd.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/login/auth-gaurd.service.ts, TypeScript, 0, 14, 0, 0, 4, 18
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/login/login-api.service.spec.ts, TypeScript, 0, 9, 0, 0, 4, 13
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/services/login/login-api.service.ts, TypeScript, 0, 81, 0, 20, 11, 112
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/stat/stat.component.css, CSS, 0, 0, 17, 3, 2, 22
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/stat/stat.component.html, HTML, 48, 0, 0, 0, 4, 52
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/stat/stat.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/stat/stat.component.ts, TypeScript, 0, 120, 0, 3, 16, 139
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/user-session/user-session.component.css, CSS, 0, 0, 0, 0, 1, 1
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/user-session/user-session.component.html, HTML, 2, 0, 0, 0, 0, 2
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/user-session/user-session.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/app/user-session/user-session.component.ts, TypeScript, 0, 16, 0, 0, 5, 21
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/environments/environment.prod.ts, TypeScript, 0, 3, 0, 0, 1, 4
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/environments/environment.ts, TypeScript, 0, 3, 0, 11, 3, 17
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/index.html, HTML, 15, 0, 0, 0, 1, 16
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/main.ts, TypeScript, 0, 10, 0, 0, 4, 14
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/polyfills.ts, TypeScript, 0, 1, 0, 55, 8, 64
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/styles.css, CSS, 0, 0, 3, 0, 1, 4
/Users/irteza/Desktop/S9/ProjetGenieLog/Front/ProjetGL-Front/src/test.ts, TypeScript, 0, 13, 0, 4, 4, 21
Total, -, 1124, 3042, 237, 191, 556, 5150
